latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.05931,132.93694,313.3,1.09,1.04,2025-05-17,0033,T,67,6.1NRT,296.93,9.5,D
-14.25884,134.15419,311.98,1.27,1.12,2025-05-17,0033,T,67,6.1NRT,292.96,11.31,D
-14.26631,134.2117,307.83,1.28,1.12,2025-05-17,0033,T,41,6.1NRT,289.47,7.88,D
-14.17083,133.27103,322.47,1.13,1.06,2025-05-17,0033,T,79,6.1NRT,295.71,19.09,D
-14.17222,133.2813,318.87,1.13,1.06,2025-05-17,0033,T,75,6.1NRT,296.62,14.65,D
-14.19526,133.30969,310.68,1.14,1.06,2025-05-17,0033,T,26,6.1NRT,296.97,5.88,D
-13.97531,131.14969,312.89,1,1,2025-05-17,0033,T,35,6.1NRT,296.47,6.59,D
-13.93574,130.81291,310.87,1,1,2025-05-17,0033,T,63,6.1NRT,296.11,5.61,D
-14.12619,132.14728,310,1.03,1.01,2025-05-17,0033,T,57,6.1NRT,298.5,4.71,D
-13.80526,129.79721,309.32,1.05,1.02,2025-05-17,0033,T,60,6.1NRT,297.55,5.95,D
-14.2327,132.71986,310.36,1.08,1.04,2025-05-17,0033,T,58,6.1NRT,298.72,5.26,D
-14.01399,131.09172,317.85,1,1,2025-05-17,0033,T,74,6.1NRT,290.7,11.73,D
-14.01529,131.10078,317.25,1,1,2025-05-17,0033,T,73,6.1NRT,290.83,11.27,D
-13.98483,130.82738,317.83,1,1,2025-05-17,0033,T,74,6.1NRT,299.3,11.04,D
-14.00191,130.94534,314,1,1,2025-05-17,0033,T,69,6.1NRT,297.91,7.72,D
-14.29989,132.80023,309.53,1.09,1.04,2025-05-17,0033,T,59,6.1NRT,297.59,5.17,D
-14.29902,132.26341,311.71,1.04,1.02,2025-05-17,0033,T,60,6.1NRT,298.67,5.64,D
-14.30033,132.27283,311.88,1.04,1.02,2025-05-17,0033,T,61,6.1NRT,298.32,5.77,D
-14.39052,132.59576,310.04,1.07,1.03,2025-05-17,0033,T,47,6.1NRT,296.53,5.21,D
-14.39967,132.59451,309.37,1.07,1.03,2025-05-17,0033,T,41,6.1NRT,295.91,4.56,D
-14.43758,132.59915,322.66,1.07,1.03,2025-05-17,0033,T,79,6.1NRT,291.87,18.23,D
-14.43892,132.60884,321.68,1.07,1.03,2025-05-17,0033,T,78,6.1NRT,292.43,16.95,D
-14.08294,129.6183,317.89,1.06,1.03,2025-05-17,0033,T,72,6.1NRT,296.28,14.01,D
-14.08438,129.62788,312.72,1.06,1.03,2025-05-17,0033,T,70,6.1NRT,295.98,9.58,D
-14.11876,129.67155,318.56,1.05,1.02,2025-05-17,0033,T,77,6.1NRT,296.28,13.77,D
-14.12356,129.64145,312.05,1.05,1.03,2025-05-17,0033,T,68,6.1NRT,297.64,7.95,D
-14.68736,133.15283,327.92,1.13,1.06,2025-05-17,0033,T,84,6.1NRT,285.9,27.7,D
-14.68873,133.16307,322.53,1.13,1.06,2025-05-17,0033,T,75,6.1NRT,286.53,20.37,D
-14.23349,129.45447,310.5,1.07,1.03,2025-05-17,0033,T,30,6.1NRT,296.87,5.86,D
-14.23496,129.46416,311.27,1.07,1.03,2025-05-17,0033,T,42,6.1NRT,298.07,6.65,D
-14.24409,129.46277,317.03,1.07,1.03,2025-05-17,0033,T,75,6.1NRT,297.2,12.14,D
-14.24555,129.47246,309.51,1.07,1.03,2025-05-17,0033,T,49,6.1NRT,297.14,5.5,D
-14.42233,130.47934,306.06,1.01,1,2025-05-17,0033,T,54,6.1NRT,279.02,6.92,D
-15.42501,135.6897,313.35,1.67,1.27,2025-05-17,0033,T,71,6.1NRT,296.1,17.03,D
-14.86819,131.39299,318.93,1.01,1,2025-05-17,0033,T,60,6.1NRT,294.54,12.2,D
-14.86021,131.27277,309.16,1,1,2025-05-17,0033,T,54,6.1NRT,292.78,4.5,D
-15.43189,135.65176,327.76,1.66,1.27,2025-05-17,0033,T,84,6.1NRT,294.59,45.92,D
-15.4337,135.6669,328.43,1.66,1.27,2025-05-17,0033,T,85,6.1NRT,296.11,46.35,D
-15.44494,135.66548,318.06,1.66,1.27,2025-05-17,0033,T,76,6.1NRT,295.36,24.22,D
-14.25138,127.07168,309.06,1.43,1.18,2025-05-17,0033,T,54,6.1NRT,297.61,7.12,D
-14.95896,131.38306,311.89,1.01,1,2025-05-17,0033,T,29,6.1NRT,292.96,6.7,D
-14.96025,131.3922,312.3,1.01,1,2025-05-17,0033,T,62,6.1NRT,293.34,7.99,D
-15.55811,135.94623,312.23,1.75,1.3,2025-05-17,0033,T,54,6.1NRT,296.77,14.54,D
-15.03029,131.30061,313.79,1.01,1,2025-05-17,0033,T,68,6.1NRT,298.23,7.42,D
-14.52929,127.65839,313.63,1.3,1.13,2025-05-17,0033,T,67,6.1NRT,300.12,10.34,D
-14.53487,127.69379,319.32,1.29,1.13,2025-05-17,0033,T,75,6.1NRT,299.68,17.52,D
-14.53675,127.70568,314.82,1.29,1.13,2025-05-17,0033,T,69,6.1NRT,298.63,11.64,D
-14.56194,127.60445,328.59,1.31,1.13,2025-05-17,0033,T,83,6.1NRT,298.75,31.95,D
-14.56382,127.61665,323.78,1.31,1.13,2025-05-17,0033,T,80,6.1NRT,299.36,23.5,D
-14.56276,127.6106,331.24,1.31,1.13,2025-05-17,0033,T,85,6.1NRT,299.48,36.25,D
-14.64244,127.9185,310.77,1.25,1.11,2025-05-17,0033,T,60,6.1NRT,299.81,6.99,D
-14.99618,130.11375,313.42,1.02,1.01,2025-05-17,0033,T,63,6.1NRT,300.48,6.45,D
-15.00374,130.10318,329.1,1.02,1.01,2025-05-17,0033,T,83,6.1NRT,299.5,22.4,D
-14.61238,127.46828,323.59,1.33,1.14,2025-05-17,0033,T,52,6.1NRT,297.76,22.8,D
-14.61429,127.48045,353.63,1.33,1.14,2025-05-17,0033,T,97,6.1NRT,301.49,96.89,D
-14.62624,127.49059,339.73,1.33,1.14,2025-05-17,0033,T,90,6.1NRT,299.36,53.51,D
-14.68297,127.46237,310.21,1.33,1.14,2025-05-17,0033,T,39,6.1NRT,298.9,6.88,D
-14.68491,127.47461,313.04,1.33,1.14,2025-05-17,0033,T,61,6.1NRT,297.79,10.34,D
-14.72478,127.66216,318.5,1.29,1.13,2025-05-17,0033,T,69,6.1NRT,299.91,14.5,D
-14.73659,127.67234,313.09,1.29,1.13,2025-05-17,0033,T,20,6.1NRT,299.73,7.77,D
-14.72447,127.52902,320.54,1.31,1.14,2025-05-17,0033,T,76,6.1NRT,298.63,19.89,D
-14.7263,127.54076,333.98,1.31,1.14,2025-05-17,0033,T,87,6.1NRT,299.66,43.18,D
-14.61127,126.74117,314.28,1.49,1.2,2025-05-17,0033,T,62,6.1NRT,298.37,13.47,D
-14.61516,126.73456,311.46,1.49,1.2,2025-05-17,0033,T,62,6.1NRT,298.99,10.96,D
-14.61737,126.74797,309.05,1.48,1.2,2025-05-17,0033,T,49,6.1NRT,297.22,8.16,D
-14.7432,127.51979,315.8,1.31,1.14,2025-05-17,0033,T,68,6.1NRT,298.84,12.98,D
-14.81325,127.70221,315.47,1.28,1.12,2025-05-17,0033,T,69,6.1NRT,299.1,13.05,D
-14.83492,127.84005,309.14,1.25,1.11,2025-05-17,0033,T,54,6.1NRT,298.32,5.56,D
-14.85377,127.76655,315.2,1.27,1.12,2025-05-17,0033,T,69,6.1NRT,298.83,12.15,D
-14.85555,127.77796,314.47,1.26,1.12,2025-05-17,0033,T,68,6.1NRT,298.4,10.96,D
-15.95735,135.55539,346.6,1.66,1.27,2025-05-17,0033,T,94,6.1NRT,301.26,98.66,D
-15.95924,135.57056,349.62,1.66,1.27,2025-05-17,0033,T,95,6.1NRT,302.18,114.7,D
-15.96111,135.58554,321.84,1.67,1.27,2025-05-17,0033,T,65,6.1NRT,298.45,27.55,D
-14.87539,127.76812,328.27,1.26,1.12,2025-05-17,0033,T,83,6.1NRT,298.84,30.64,D
-14.8772,127.77945,331.69,1.26,1.12,2025-05-17,0033,T,85,6.1NRT,300.18,36.12,D
-15.23924,130.13319,312.18,1.01,1.01,2025-05-17,0033,T,61,6.1NRT,299.36,6.22,D
-15.3759,131.07544,320.91,1,1,2025-05-17,0033,T,76,6.1NRT,298.83,13.02,D
-15.3772,131.08458,322.37,1,1,2025-05-17,0033,T,77,6.1NRT,299.18,14.5,D
-15.95839,135.56427,356.7,1.66,1.27,2025-05-17,0033,T,98,6.1NRT,302.98,146.44,D
